ORF1, ORF1, L1RE1	ORF2	HAX1	IPO7	TUBB	HSP90AA1	HSP90AB1	PARP1	HSPA1A, HSPA1B	HSPA8	TOP1	PABPC1	PCNA	NAP1L1	UBB, UBC, RPS27A, UBA52	TUBB4B	PURA	FKBP4	PABPC4	UPF1	HMCES	PURB	ZCCHC3	MOV10	HIST1H2BJ, HIST1H2BO, HIST1H2BB, HIST2H2BE	TROVE2	DDX6	YME1L1	NAP1L4	LARP7	MEPCE	Genes
0.54262	0.67348	0.86667	0.86242	0.70137	0.75725	0.7405	0.77831	0.78851	0.77887	0.9107	0	0.88624	0.86411	0.72773	0.70259	0.86635	0.86318	0	0.54983	0.86882	0.89299	0.64026	0.64447	0.8166	0.84836	0.86985	0.85249	0.86703	0.84719	0.81613	PABPC1
0.9066	0.83129	0.71855	0.65815	0.86689	0.83107	0.84003	0.71717	0.9283	0.92889	0.63397	0.88624	0	0.67389	0.7562	0.8646	0.55205	0.79465	0.88108	0.85075	0.77673	0.36173	0.843	0.87634	0.82385	0.81587	0.81672	0.81387	0.74686	0.79485	1	PCNA
0.88765	0.78221	0.5432	0.4008	0.74818	0.70793	0.70066	0.80781	0.86241	0.86632	0.8172	0.86411	0.67389	0	0.77439	0.73498	0.72723	0.63834	0.86024	0.82462	0.77896	0.64784	0.83147	0.86557	0.83835	0.76893	0.79973	0.77447	0.6263	0.91508	1	NAP1L1
0.78086	0.63229	0.81101	0.77678	0.61171	0.58098	0.55739	0.58904	0.75566	0.7554	0.82399	0.72773	0.7562	0.77439	0	0.60513	0.71937	0.81808	0.71926	0.63524	0.82146	0.76667	0.64307	0.71376	0.70909	0.84986	0.79495	0.85504	0.81702	0.74415	0.75239	UBB, UBC, RPS27A, UBA52
0.76244	0.5727	0.75564	0.68586	0.12176	0.55859	0.46187	0.74877	0.63163	0.63271	0.90709	0.70259	0.8646	0.73498	0.60513	0	0.83056	0.69257	0.69885	0.63387	0.87086	0.86524	0.65212	0.7296	0.77842	0.79514	0.85254	0.79231	0.76172	0.77468	0.73833	TUBB4B
0.88858	0.80679	0.7669	0.72833	0.83328	0.78964	0.79926	0.69415	0.89737	0.8988	0.71712	0.86635	0.55205	0.72723	0.71937	0.83056	0	0.80843	0.86096	0.82527	0.79377	0.54599	0.81984	0.85293	0.79895	0.83634	0.81723	0.8385	0.78237	0.79812	0.91546	PURA
0.87975	0.81585	0.64106	0.63012	0.71292	0.73928	0.73394	0.84924	0.84576	0.84606	0.8781	0.86318	0.79465	0.63834	0.81808	0.69257	0.80843	0	0.86121	0.83254	0.82341	0.79126	0.83955	0.86818	0.87489	0.80615	0.83171	0.7596	0.74167	0.93203	1	FKBP4
0.55479	0.66494	0.86436	0.85906	0.69818	0.75193	0.73611	0.77103	0.78934	0.78013	0.90585	0	0.88108	0.86024	0.71926	0.69885	0.86096	0.86121	0	0.5389	0.86316	0.88793	0.63365	0.6423	0.81167	0.84758	0.86868	0.85386	0.86358	0.84411	0.8183	PABPC4
0.61644	0.61931	0.83192	0.82395	0.63098	0.69345	0.66917	0.72807	0.75006	0.74175	0.8859	0.54983	0.85075	0.82462	0.63524	0.63387	0.82527	0.83254	0.5389	0	0.84566	0.85653	0.48023	0.56247	0.77283	0.83991	0.84041	0.84692	0.84321	0.82132	0.7881	UPF1
0.89154	0.86003	0.83479	0.78619	0.87612	0.83874	0.84803	0.78212	0.94139	0.94336	0.78366	0.86882	0.77673	0.77896	0.82146	0.87086	0.79377	0.82341	0.86316	0.84566	0	0.77259	0.87049	0.89309	0.82629	0.83967	0.82255	0.8679	0.78176	0.69182	1	HMCES
0.91148	0.83917	0.71708	0.64702	0.86827	0.82623	0.83727	0.72667	0.92831	0.9299	0.67508	0.89299	0.36173	0.64784	0.76667	0.86524	0.54599	0.79126	0.88793	0.85653	0.77259	0	0.85199	0.88319	0.84848	0.81535	0.81491	0.8259	0.74311	0	1	PURB
0.67084	0.58982	0.82893	0.82372	0.64696	0.70757	0.69143	0.74349	0.75652	0.74614	0.87633	0.64026	0.843	0.83147	0.64307	0.65212	0.81984	0.83955	0.63365	0.48023	0.87049	0.85199	0	0.57042	0.79636	0.85549	0.86822	0.86139	0.86306	0.84548	0.82373	ZCCHC3
0.61978	0.69909	0.85882	0.86214	0.72528	0.77645	0.75802	0.78142	0.78369	0.77307	0.90844	0.64447	0.87634	0.86557	0.71376	0.7296	0.85293	0.86818	0.6423	0.56247	0.89309	0.88319	0.57042	0	0.80955	0.86456	0.86286	0.87149	0.88167	0.84488	0.78397	MOV10
0.84299	0.80237	0.86975	0.82987	0.77957	0.77536	0.76242	0.79785	0.85386	0.85699	0.85675	0.8166	0.82385	0.83835	0.70909	0.77842	0.79895	0.87489	0.81167	0.77283	0.82629	0.84848	0.79636	0.80955	0	0.85815	0.85851	0.89001	0.8376	0.80544	0.76495	HIST1H2BJ, HIST1H2BO, HIST1H2BB, HIST2H2BE
0.8675	0.83285	0.75275	0.7406	0.78541	0.82978	0.82781	0.87695	0.88603	0.88867	0.81202	0.84836	0.81587	0.76893	0.84986	0.79514	0.83634	0.80615	0.84758	0.83991	0.83967	0.81535	0.85549	0.86456	0.85815	0	0.83813	0.75428	0.69001	0.9628	1	TROVE2
0.8914	0.87877	0.83394	0.79274	0.85021	0.8335	0.82195	0.85275	0.92084	0.91656	0.83488	0.86985	0.81672	0.79973	0.79495	0.85254	0.81723	0.83171	0.86868	0.84041	0.82255	0.81491	0.86822	0.86286	0.85851	0.83813	0	0.73391	0.76754	0.86635	0.84547	DDX6
0.8752	0.83498	0.70755	0.74232	0.77763	0.83442	0.82868	0.87808	0.88395	0.87918	0.79715	0.85249	0.81387	0.77447	0.85504	0.79231	0.8385	0.7596	0.85386	0.84692	0.8679	0.8259	0.86139	0.87149	0.89001	0.75428	0.73391	0	0.71174	0.95675	1	YME1L1
0.88603	0.81725	0.76393	0.6641	0.77955	0.72865	0.70194	0.8454	0.90289	0.90658	0.70405	0.86703	0.74686	0.6263	0.81702	0.76172	0.78237	0.74167	0.86358	0.84321	0.78176	0.74311	0.86306	0.88167	0.8376	0.69001	0.76754	0.71174	0	0.91563	1	NAP1L4
0.87305	0.8305	0.96043	0.93354	0.78006	0.77316	0.74558	0.76055	0.79868	0.80539	0.73043	0.84719	0.79485	0.91508	0.74415	0.77468	0.79812	0.93203	0.84411	0.82132	0.69182	0	0.84548	0.84488	0.80544	0.9628	0.86635	0.95675	0.91563	0	0.70453	LARP7
0.84734	0.83334	1	1	0.74648	0.83042	0.76787	0.82214	0.67255	0.66967	1	0.81613	1	1	0.75239	0.73833	0.91546	1	0.8183	0.7881	1	1	0.82373	0.78397	0.76495	1	0.84547	1	1	0.70453	0	MEPCE
