Genes	Uniprot	Protein	Color	RT_Exp1_affinity	RT_Exp2_affinity	RT_Exp3_affinity	EN_Exp1_affinity	EN_Exp2_affinity	EN_Exp3_affinity	RT_Avg_affinity	ENDO_Avg_affinity	Adjusted_P-value	RT_vs_WT_Adjusted_P-value	EN_vs_WT_Adjusted_P-value
DDB1	Q16531	DNA damage-binding protein 1	grey	0.522586	0.512355	0.552465	0.477109	0.476262	0.498552	NA	NA	NA	NA	NA
SRSF7	Q16629	Serine/arginine-rich splicing factor 7	grey	0.25901	0.174942	0.228482	0.485225	0.525318	0.479801	NA	NA	NA	NA	NA
IMMT	Q16891	MICOS complex subunit MIC60	grey	0.368189	0.376224	0.39118	0.23672	0.253497	0.283937	NA	NA	NA	NA	NA
HNRNPUL2-BSCL2, HNRNPUL2	H3BQZ7, Q1KMD3	HCG2044799, Heterogeneous nuclear ribonucleoprotein U-like protein 2	grey	0.389675	0.363318	0.398069	0.458854	0.49865	0.501604	NA	NA	NA	NA	NA
TUBB8	Q3ZCM7	Tubulin beta-8 chain	grey	NA	0.448519	0.463405	NA	0.33214	0.321234	NA	NA	NA	NA	NA
TIMM50	Q3ZCQ8	Mitochondrial import inner membrane translocase subunit TIM50	grey	0.341632	0.295264	0.308142	0.27231	0.277539	0.280963	NA	NA	NA	NA	NA
IPO5	O00410	Importin-5	grey	0.556743	0.529135	NA	0.325245	0.370448	0.408492	NA	NA	NA	NA	NA
ZNF326	Q5BKZ1	DBIRD complex subunit ZNF326	grey	0.570229	0.518805	0.573035	0.559994	0.559175	0.566949	NA	NA	NA	NA	NA
PPP6R3	Q5H9R7	Serine/threonine-protein phosphatase 6 regulatory subunit 3	grey	0.312588	0.288691	0.351131	0.316258	0.303907	0.309507	NA	NA	NA	NA	NA
AMER1	Q5JTC6	APC membrane recruitment protein 1	grey	0.246222	0.347807	0.297502	NA	0.359118	0.297016	NA	NA	NA	NA	NA
RRP12	Q5JTH9	RRP12-like protein	grey	0.461939	0.428068	0.499419	0.613755	0.58526	0.709238	NA	NA	NA	NA	NA
AARS2	Q5JTZ9	Alanine--tRNA ligase, mitochondrial	grey	NA	0.485496	0.467368	0.239976	0.266293	0.276409	NA	NA	NA	NA	NA
DNTTIP2	Q5QJE6	Deoxynucleotidyltransferase terminal-interacting protein 2	grey	0.447536	0.435439	0.463135	0.568068	0.587932	0.583258	NA	NA	NA	NA	NA
NOL9	Q5SY16	Polynucleotide 5'-hydroxyl-kinase NOL9	grey	0.438087	0.372033	0.383444	NA	0.35707	0.368376	NA	NA	NA	NA	NA
IGF2BP3	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	grey	0.332201	0.303305	0.326543	0.512884	0.517656	0.539312	NA	NA	NA	NA	NA
EDC4	Q6P2E9	Enhancer of mRNA-decapping protein 4	grey	0.472836	0.53734	0.57094	0.39552	0.434597	0.423611	NA	NA	NA	NA	NA
PRPF8	Q6P2Q9	Pre-mRNA-processing-splicing factor 8	grey	0.454599	0.470522	0.491578	0.483868	0.479084	0.521405	NA	NA	NA	NA	NA
PES1	O00541	Pescadillo homolog	grey	0.441974	0.426959	0.456325	0.679448	0.644275	0.709076	NA	NA	NA	NA	NA
LARP1	Q6PKG0	La-related protein 1	grey	0.258721	0.232084	0.250007	0.459649	0.463116	0.466298	NA	NA	NA	NA	NA
HIST3H3, H3F3C, HIST2H3A;	Q16695, Q6NXT2, Q71DI3	Histone H3.1t, Histone H3.3C, Histone H3.2	grey	0.631013	0.599479	0.655987	0.706786	0.712271	0.750071	NA	NA	NA	NA	NA
LARP4	Q71RC2	La-related protein 4	grey	NA	0.397155	0.439466	0.463279	0.497462	0.491009	NA	NA	NA	NA	NA
TUBA3C, TUBA3E, TUBA1A	Q13748, Q6PEY2, Q71U36	Tubulin alpha-3C/D chain, Tubulin alpha-3E chain, Tubulin alpha-1A chain	grey	0.468655	0.387613	NA	0.356012	0.378868	NA	NA	NA	NA	NA	NA
SND1	Q7KZF4	Staphylococcal nuclease domain-containing protein 1	grey	0.598255	0.670208	0.695711	0.491946	0.511504	0.520016	NA	NA	NA	NA	NA
DHX30	Q7L2E3	Putative ATP-dependent RNA helicase DHX30	grey	0.357943	0.257862	0.371145	0.353988	0.345984	0.313652	NA	NA	NA	NA	NA
NOP56	O00567	Nucleolar protein 56	grey	0.412712	0.406721	0.431129	0.545722	0.569723	0.570457	NA	NA	NA	NA	NA
ZC3HAV1	Q7Z2W4	Zinc finger CCCH-type antiviral protein 1	grey	0.485364	0.513088	0.586615	0.509351	0.525731	0.544002	NA	NA	NA	NA	NA
DDX3X	O00571	ATP-dependent RNA helicase DDX3X	grey	0.608324	0.600535	0.625623	0.493709	0.502905	0.503921	NA	NA	NA	NA	NA
HUWE1	Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1	grey	0.585535	0.540451	0.605963	0.323042	0.359398	0.366091	NA	NA	NA	NA	NA
KPNA4	O00629	Importin subunit alpha-3	grey	0.793333	0.776219	0.90002	0.668778	NA	0.718719	NA	NA	NA	NA	NA
ZC3H18	Q86VM9	Zinc finger CCCH domain-containing protein 18	grey	0.327689	0.313123	0.364591	0.269523	0.270452	0.292701	NA	NA	NA	NA	NA
CAND1	Q86VP6	Cullin-associated NEDD8-dissociated protein 1	grey	0.495755	0.467623	0.528962	0.33899	0.373969	0.398278	NA	NA	NA	NA	NA
WDR75	Q8IWA0	WD repeat-containing protein 75	grey	0.497477	0.453135	0.549424	0.60208	0.602011	0.65023	NA	NA	NA	NA	NA
SUGP2	Q8IX01	SURP and G-patch domain-containing protein 2	grey	0.414834	0.401632	0.433237	0.284687	0.352214	0.364489	NA	NA	NA	NA	NA
DNAJC10	Q8IXB1	DnaJ homolog subfamily C member 10	grey	0.365142	0.322006	0.328141	0.598175	NA	0.31584	NA	NA	NA	NA	NA
FTSJ3	Q8IY81	pre-rRNA processing protein FTSJ3	grey	0.418916	0.345917	0.374264	0.593415	0.61559	0.712294	NA	NA	NA	NA	NA
NUP93	Q8N1F7	Nuclear pore complex protein Nup93	grey	0.414208	0.425938	0.404941	0.251535	0.334264	0.362124	NA	NA	NA	NA	NA
ASCC3	Q8N3C0	Activating signal cointegrator 1 complex subunit 3	grey	0.527383	0.593413	0.583368	0.425116	0.453629	0.460015	NA	NA	NA	NA	NA
KRI1	Q8N9T8	Protein KRI1 homolog	grey	0.413972	0.406546	0.441739	0.59669	0.635227	NA	NA	NA	NA	NA	NA
ABCF1	Q8NE71	ATP-binding cassette sub-family F member 1	grey	0.547762	0.645809	0.673029	0.414802	0.502302	0.554665	NA	NA	NA	NA	NA
WDR36	Q8NI36	WD repeat-containing protein 36	grey	0.462335	0.445226	0.48262	0.607368	0.595444	0.585167	NA	NA	NA	NA	NA
COQ8A	Q8NI60	Atypical kinase COQ8A, mitochondrial	grey	0.201417	0.210316	0.202872	NA	0.225725	0.211468	NA	NA	NA	NA	NA
BRIX1	Q8TDN6	Ribosome biogenesis protein BRX1 homolog	grey	0.356113	0.324906	0.363782	0.628966	0.634051	0.667194	NA	NA	NA	NA	NA
UTP15	Q8TED0	U3 small nucleolar RNA-associated protein 15 homolog	grey	0.474947	0.425957	0.429471	0.585257	0.559302	0.59511	NA	NA	NA	NA	NA
GEMIN5	Q8TEQ6	Gem-associated protein 5	grey	NA	0.594503	0.570671	0.479438	0.43921	0.475811	NA	NA	NA	NA	NA
IPO4	Q8TEX9	Importin-4	grey	0.572439	0.528943	0.541426	0.471199	0.459779	0.512566	NA	NA	NA	NA	NA
NUP133	Q8WUM0	Nuclear pore complex protein Nup133	grey	0.296576	0.327335	0.347505	0.238775	0.344897	0.302248	NA	NA	NA	NA	NA
PDCD6IP	Q8WUM4	Programmed cell death 6-interacting protein	grey	0.523973	0.484357	0.545875	0.382479	0.436067	0.430719	NA	NA	NA	NA	NA
ATXN2L	Q8WWM7	Ataxin-2-like protein	grey	0.517669	0.489063	0.502796	0.549106	0.551084	0.541521	NA	NA	NA	NA	NA
IRS4	O14654	Insulin receptor substrate 4	grey	0.328247	0.322159	0.335046	0.2525	0.263173	0.271811	NA	NA	NA	NA	NA
DDX1	Q92499	ATP-dependent RNA helicase DDX1	grey	0.653161	0.661643	NA	0.372126	0.546396	0.491328	NA	NA	NA	NA	NA
HSPH1	Q92598	Heat shock protein 105 kDa	grey	0.65018	0.615303	0.604923	0.335521	0.375204	0.355931	NA	NA	NA	NA	NA
LARP4B	Q92615	La-related protein 4B	grey	0.435358	NA	0.660485	0.489459	NA	0.44602	NA	NA	NA	NA	NA
GCN1	Q92616	eIF-2-alpha kinase activator GCN1	grey	0.466326	0.446939	0.524651	0.435649	0.418287	0.460859	NA	NA	NA	NA	NA
NUP205	Q92621	Nuclear pore complex protein Nup205	grey	0.401561	0.417302	0.408545	0.302508	0.295554	0.31962	NA	NA	NA	NA	NA
PRMT5	O14744	Protein arginine N-methyltransferase 5	grey	0.534059	0.532549	0.586196	0.323358	0.371457	0.369562	NA	NA	NA	NA	NA
DDX17	Q92841	Probable ATP-dependent RNA helicase DDX17	grey	0.507797	0.507582	0.52339	0.433089	0.434267	0.423959	NA	NA	NA	NA	NA
KHSRP	Q92945	Far upstream element-binding protein 2	grey	0.421507	0.316482	0.372428	0.474147	0.373261	0.447895	NA	NA	NA	NA	NA
TNPO1	Q92973	Transportin-1	grey	0.527269	0.616037	NA	0.397737	0.406746	NA	NA	NA	NA	NA	NA
UTP4	Q969X6	U3 small nucleolar RNA-associated protein 4 homolog	grey	0.475721	0.432466	0.496456	0.62598	0.627834	0.61063	NA	NA	NA	NA	NA
GPRASP2	Q96D09	G-protein coupled receptor-associated sorting protein 2	grey	NA	0.361558	0.439787	0.313358	0.367887	0.372143	NA	NA	NA	NA	NA
DNAJA3	Q96EY1	DnaJ homolog subfamily A member 3, mitochondrial	grey	0.324259	0.359185	0.34988	NA	0.239735	0.394405	NA	NA	NA	NA	NA
DDX27	Q96GQ7	Probable ATP-dependent RNA helicase DDX27	grey	0.40822	0.360409	0.415814	0.610801	0.623881	0.589564	NA	NA	NA	NA	NA
IPO9	Q96P70	Importin-9	grey	0.477107	0.425503	0.471165	0.298718	0.30706	0.333494	NA	NA	NA	NA	NA
RBM14	Q96PK6	RNA-binding protein 14	grey	0.717164	0.669878	0.801396	0.681487	0.708987	0.745547	NA	NA	NA	NA	NA
MMS19	Q96T76	MMS19 nucleotide excision repair protein homolog	grey	NA	0.235402	0.300412	NA	0.271285	0.302051	NA	NA	NA	NA	NA
PSMD1	Q99460	26S proteasome non-ATPase regulatory subunit 1	grey	0.56387	0.519786	0.524586	0.308374	0.337567	0.339573	NA	NA	NA	NA	NA
EIF3CL, EIF3C	B5ME19, Q99613	Eukaryotic translation initiation factor 3 subunit C-like protein, Eukaryotic translation initiation factor 3 subunit C	grey	0.542881	0.561424	0.530297	0.401141	0.434363	0.404881	NA	NA	NA	NA	NA
PHB2	Q99623	Prohibitin-2	grey	0.60834	0.636416	0.576735	0.281494	0.296814	0.329819	NA	NA	NA	NA	NA
ATXN2	Q99700	Ataxin-2	grey	0.425768	0.394253	0.422953	0.460151	0.547346	0.547845	NA	NA	NA	NA	NA
HNRNPAB	Q99729	Heterogeneous nuclear ribonucleoprotein A/B	grey	0.557821	0.52169	NA	0.53559	0.547549	NA	NA	NA	NA	NA	NA
CCT7	Q99832	T-complex protein 1 subunit eta	grey	0.572978	0.637659	0.683431	0.265965	0.3648	0.340037	NA	NA	NA	NA	NA
EBNA1BP2	Q99848	Probable rRNA-processing protein EBP2	grey	0.369218	0.364805	0.393609	0.679139	0.709118	0.734534	NA	NA	NA	NA	NA
XPO1	O14980	Exportin-1	grey	0.435865	0.431289	0.471201	0.284402	0.352622	0.402677	NA	NA	NA	NA	NA
GRWD1	Q9BQ67	Glutamate-rich WD repeat-containing protein 1	grey	0.446428	0.497233	0.551326	0.472923	0.428608	0.415948	NA	NA	NA	NA	NA
TUBA1C	Q9BQE3	Tubulin alpha-1C chain	grey	NA	0.489826	0.515251	0.312499	0.375432	0.363225	NA	NA	NA	NA	NA
MYBBP1A	Q9BQG0	Myb-binding protein 1A	grey	0.428643	0.408326	0.438649	0.52596	0.5329	NA	NA	NA	NA	NA	NA
SEC16A	O15027	Protein transport protein Sec16A	grey	NA	0.36689	0.364817	NA	0.371308	0.319651	NA	NA	NA	NA	NA
TUBB6	Q9BUF5	Tubulin beta-6 chain	grey	NA	0.543058	0.460446	0.259708	0.306575	0.30759	NA	NA	NA	NA	NA
HNRNPUL1	Q9BUJ2	Heterogeneous nuclear ribonucleoprotein U-like protein 1	grey	0.463761	0.431781	0.466221	0.58596	0.552639	0.600235	NA	NA	NA	NA	NA
TUBB2B	Q9BVA1	Tubulin beta-2B chain	grey	0.529284	0.544281	0.590064	0.324014	0.354453	0.357632	NA	NA	NA	NA	NA
UTP14A	Q9BVJ6	U3 small nucleolar RNA-associated protein 14 homolog A	grey	0.450328	0.402192	0.451468	0.546007	0.654486	NA	NA	NA	NA	NA	NA
MAK16	Q9BXY0	Protein MAK16 homolog	grey	0.376749	0.365111	NA	NA	0.604674	0.721711	NA	NA	NA	NA	NA
GTPBP4	Q9BZE4	Nucleolar GTP-binding protein 1	grey	0.440559	0.411386	0.456501	0.626507	0.662808	0.674662	NA	NA	NA	NA	NA
WDR12	Q9GZL7	Ribosome biogenesis protein WDR12	grey	0.716056	0.473947	NA	NA	0.550518	0.623931	NA	NA	NA	NA	NA
CLPB	Q9H078	Caseinolytic peptidase B protein homolog	grey	0.354649	0.319041	0.346173	0.276026	0.250431	0.245616	NA	NA	NA	NA	NA
NAT10	Q9H0A0	RNA cytidine acetyltransferase	grey	0.452107	0.438912	0.447358	0.625546	0.657418	0.6692	NA	NA	NA	NA	NA
PNN	Q9H307	Pinin	grey	0.476109	0.471664	0.512656	0.598038	0.601527	0.606243	NA	NA	NA	NA	NA
WDR46	O15213	WD repeat-containing protein 46	grey	0.529577	0.466099	0.411692	NA	0.629164	0.508214	NA	NA	NA	NA	NA
HEATR1	Q9H583	HEAT repeat-containing protein 1	grey	0.405352	0.391329	0.401973	0.487964	0.465072	0.497932	NA	NA	NA	NA	NA
RPF2	Q9H7B2	Ribosome production factor 2 homolog	grey	0.382082	0.350967	0.405692	0.676403	0.685236	0.717552	NA	NA	NA	NA	NA
NKRF	O15226	NF-kappa-B-repressing factor	grey	0.453365	0.403929	NA	0.527812	0.491778	0.598271	NA	NA	NA	NA	NA
