"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"gene_biotype"	"2_401_Inp_10_11_S1"	"2_567_Elu_10_16_S8"	"3_401_Sup_10_11_S2"	"4_401_Elu_10_11_S3"	"4_624_Elu_10_16_S9"	"6_401_Inp_10_12_S4"	"6_567_Elu_10_10_S7"	"7_401_Sup_10_12_S5"	"8_401_Elu_10_12_S6"
"ENSG00000003137"	"CYP26B1"	"2"	72356367	72375167	-1	"protein_coding"	30	28	22	37	24	33	44	22	41
"ENSG00000003147"	"ICA1"	"7"	8152814	8302317	-1	"protein_coding"	117	113	14	125	96	91	103	15	107
"ENSG00000003249"	"DBNDD1"	"16"	90071273	90086536	-1	"protein_coding"	133	173	71	169	143	153	195	75	172
"ENSG00000003393"	"ALS2"	"2"	202565277	202645912	-1	"protein_coding"	387	449	75	452	477	434	455	102	494
"ENSG00000003400"	"CASP10"	"2"	202047604	202094129	1	"protein_coding"	231	235	55	208	199	213	250	83	239
"ENSG00000003402"	"CFLAR"	"2"	201980827	202041410	1	"protein_coding"	301	272	69	325	273	289	304	103	324
"ENSG00000003436"	"TFPI"	"2"	188328957	188430487	-1	"protein_coding"	189	180	25	230	243	169	207	30	280
"ENSG00000003509"	"NDUFAF7"	"2"	37458774	37480546	1	"protein_coding"	256	216	22	259	242	225	222	22	259
"ENSG00000003756"	"RBM5"	"3"	50126341	50156454	1	"protein_coding"	1111	969	375	1031	1212	1128	968	353	1182
"ENSG00000003987"	"MTMR7"	"8"	17155539	17271037	-1	"protein_coding"	25	43	7	38	40	37	40	3	44
"ENSG00000003989"	"SLC7A2"	"8"	17354597	17428082	1	"protein_coding"	163	155	38	207	262	163	172	45	235
"ENSG00000004059"	"ARF5"	"7"	127228399	127231759	1	"protein_coding"	912	820	1049	969	1197	1091	793	859	932
"ENSG00000004139"	"SARM1"	"17"	26691378	26728065	1	"protein_coding"	53	56	29	56	59	59	45	28	60
"ENSG00000004142"	"POLDIP2"	"17"	26673659	26684545	-1	"protein_coding"	587	640	302	714	628	707	608	290	765
"ENSG00000004399"	"PLXND1"	"3"	129274018	129325661	-1	"protein_coding"	186	130	171	228	226	276	145	149	271
"ENSG00000004455"	"AK2"	"1"	33473585	33546597	-1	"protein_coding"	2574	2335	852	2637	2836	2662	2236	744	2888
"ENSG00000004478"	"FKBP4"	"12"	2904119	2914576	1	"protein_coding"	1454	1295	623	1507	1555	1551	1197	556	1540
"ENSG00000004487"	"KDM1A"	"1"	23345941	23410182	1	"protein_coding"	940	944	281	1052	1118	1054	905	308	1276
"ENSG00000004534"	"RBM6"	"3"	49977440	50137478	1	"protein_coding"	1206	1539	415	1249	1170	1292	1362	531	1509
"ENSG00000004660"	"CAMKK1"	"17"	3763609	3798185	-1	"protein_coding"	86	133	62	105	67	119	113	41	120
"ENSG00000004700"	"RECQL"	"12"	21621845	21654603	-1	"protein_coding"	132	213	29	197	279	140	241	30	228
"ENSG00000004766"	"CCDC132"	"7"	92861653	92988338	1	"protein_coding"	155	248	35	194	266	186	190	43	247
"ENSG00000004777"	"ARHGAP33"	"19"	36265434	36279724	1	"protein_coding"	156	223	102	293	185	221	209	91	224
"ENSG00000004779"	"NDUFAB1"	"16"	23592323	23607677	-1	"protein_coding"	631	536	371	584	781	711	595	351	699
"ENSG00000004799"	"PDK4"	"7"	95212811	95225803	-1	"protein_coding"	30	20	2	10	19	18	24	10	21
"ENSG00000004864"	"SLC25A13"	"7"	95749532	95951459	-1	"protein_coding"	592	578	112	604	731	539	614	132	660
"ENSG00000004866"	"ST7"	"7"	116593292	116870157	1	"protein_coding"	322	275	56	368	320	304	370	62	343
"ENSG00000004897"	"CDC27"	"17"	45195069	45266788	-1	"protein_coding"	1398	1468	128	1382	2197	1118	1692	179	1522
"ENSG00000004961"	"HCCS"	"X"	11129421	11141198	1	"protein_coding"	275	345	45	329	367	310	353	76	375
"ENSG00000004975"	"DVL2"	"17"	7128660	7137864	-1	"protein_coding"	422	441	428	537	691	584	370	309	605
"ENSG00000005007"	"UPF1"	"19"	18942747	18979045	1	"protein_coding"	545	676	382	696	706	703	566	454	795
"ENSG00000005020"	"SKAP2"	"7"	26706681	27034858	-1	"protein_coding"	244	410	39	302	321	234	379	49	370
"ENSG00000005022"	"SLC25A5"	"X"	118602363	118605282	1	"protein_coding"	3590	2724	2178	3486	4133	3670	2778	1794	3538
"ENSG00000005059"	"CCDC109B"	"4"	110481361	110609874	1	"protein_coding"	187	155	19	205	199	169	162	25	225
"ENSG00000005073"	"HOXA11"	"7"	27221129	27224842	-1	"protein_coding"	90	87	20	121	94	94	62	22	98
"ENSG00000005075"	"POLR2J"	"7"	102113565	102119354	-1	"protein_coding"	273	512	224	344	428	366	332	214	463
"ENSG00000005100"	"DHX33"	"17"	5344232	5372380	-1	"protein_coding"	608	604	180	656	812	577	633	200	718
"ENSG00000005108"	"THSD7A"	"7"	11409984	11871824	-1	"protein_coding"	15	19	2	21	13	17	16	8	26
"ENSG00000005156"	"LIG3"	"17"	33307513	33332083	1	"protein_coding"	486	404	222	474	522	500	448	202	539
"ENSG00000005175"	"RPAP3"	"12"	48057070	48099844	-1	"protein_coding"	394	575	43	536	560	314	633	69	515
"ENSG00000005187"	"ACSM3"	"16"	20621565	20808903	1	"protein_coding"	22	9	4	31	9	17	16	4	14
"ENSG00000005189"	""	"16"	20817751	20860987	1	"protein_coding"	191	234	65	233	250	238	223	53	270
"ENSG00000005194"	"CIAPIN1"	"16"	57462081	57481440	-1	"protein_coding"	541	525	204	685	605	590	602	236	672
"ENSG00000005206"	"SPPL2B"	"19"	2328614	2355099	1	"processed_transcript"	108	185	116	186	153	154	171	112	210
"ENSG00000005238"	"FAM214B"	"9"	35104109	35116338	-1	"protein_coding"	37	39	11	68	39	41	36	18	41
"ENSG00000005243"	"COPZ2"	"17"	46103533	46115392	-1	"protein_coding"	7	11	4	13	10	12	5	10	14
"ENSG00000005249"	"PRKAR2B"	"7"	106685094	106802256	1	"protein_coding"	111	103	7	110	148	92	126	11	149
"ENSG00000005302"	"MSL3"	"X"	11776278	11793870	1	"protein_coding"	429	361	140	416	409	424	400	126	469
"ENSG00000005339"	"CREBBP"	"16"	3775055	3930727	-1	"protein_coding"	2102	2017	509	2388	2211	2096	1960	616	2591
"ENSG00000005436"	"GCFC2"	"2"	75879126	75938115	-1	"protein_coding"	376	481	67	466	520	352	475	55	556
"ENSG00000005448"	"WDR54"	"2"	74648805	74652882	1	"protein_coding"	106	160	140	129	143	124	115	85	136
"ENSG00000005469"	"CROT"	"7"	86974997	87029111	1	"protein_coding"	90	120	16	136	121	97	143	28	127
"ENSG00000005471"	"ABCB4"	"7"	87031013	87109751	-1	"protein_coding"	33	32	4	22	18	22	49	4	29
"ENSG00000005483"	"KMT2E"	"7"	104654626	104754808	1	"protein_coding"	991	1402	120	1368	1366	919	1550	191	1515
"ENSG00000005486"	"RHBDD2"	"7"	75471920	75518244	1	"protein_coding"	568	890	404	740	676	685	867	350	882
"ENSG00000005513"	"SOX8"	"16"	1031808	1036979	1	"protein_coding"	25	25	24	37	32	31	35	13	46
"ENSG00000005801"	"ZNF195"	"11"	3360491	3400448	-1	"protein_coding"	399	680	68	509	678	388	694	88	554
"ENSG00000005810"	"MYCBP2"	"13"	77618792	77901185	-1	"protein_coding"	1311	1777	250	1517	1158	1335	1798	316	1699
"ENSG00000005812"	"FBXL3"	"13"	77566740	77601330	-1	"protein_coding"	1220	932	128	1233	1724	990	1198	152	1348
"ENSG00000005882"	"PDK2"	"17"	48172101	48189516	1	"protein_coding"	233	195	84	243	278	225	195	76	218
"ENSG00000005884"	"ITGA3"	"17"	48133332	48167845	1	"protein_coding"	74	85	40	99	70	93	85	37	76
"ENSG00000005889"	"ZFX"	"X"	24167290	24234372	1	"protein_coding"	1059	1179	147	1211	1507	983	1263	288	1410
"ENSG00000005893"	"LAMP2"	"X"	119561682	119603220	-1	"protein_coding"	666	613	108	698	915	661	653	113	847
"ENSG00000005955"	"GGNBP2"	"17"	34900737	34946278	1	"protein_coding"	378	496	75	428	425	389	490	99	430
"ENSG00000005961"	"ITGA2B"	"17"	42449548	42466873	-1	"protein_coding"	17	19	15	24	18	25	23	15	20
"ENSG00000006007"	"GDE1"	"16"	19513015	19533467	-1	"protein_coding"	594	560	102	589	708	497	585	118	611
"ENSG00000006015"	"C19orf60"	"19"	18699495	18703146	1	"protein_coding"	90	91	80	101	118	127	96	90	117
"ENSG00000006016"	"CRLF1"	"19"	18683030	18718551	-1	"protein_coding"	12	33	21	26	23	21	23	19	19
"ENSG00000006025"	"OSBPL7"	"17"	45884738	45899200	-1	"protein_coding"	114	146	99	113	126	145	133	117	144
"ENSG00000006042"	"TMEM98"	"17"	31254928	31272124	1	"protein_coding"	250	220	76	239	259	256	176	77	292
"ENSG00000006062"	"MAP3K14"	"17"	43340488	43394414	-1	"processed_transcript"	92	111	38	104	100	77	91	42	97
"ENSG00000006071"	"ABCC8"	"11"	17414432	17498449	-1	"protein_coding"	29	45	19	30	22	25	41	21	46
"ENSG00000006114"	"SYNRG"	"17"	35874900	35969544	-1	"protein_coding"	503	570	95	563	590	512	548	127	590
"ENSG00000006118"	"TMEM132A"	"11"	60691935	60704631	1	"protein_coding"	115	93	92	132	123	117	104	92	149
"ENSG00000006125"	"AP2B1"	"17"	33905065	34053436	1	"protein_coding"	1282	1296	252	1352	1602	1274	1431	286	1533
"ENSG00000006194"	"ZNF263"	"16"	3313743	3351401	1	"protein_coding"	232	223	60	239	286	247	190	88	301
"ENSG00000006282"	"SPATA20"	"17"	48620419	48633213	1	"protein_coding"	45	49	69	71	64	78	51	39	97
"ENSG00000006283"	"CACNA1G"	"17"	48638429	48704835	1	"protein_coding"	8	20	7	25	17	23	14	11	20
"ENSG00000006327"	"TNFRSF12A"	"16"	3068446	3072384	1	"protein_coding"	200	297	112	309	366	289	333	103	329
"ENSG00000006377"	"DLX6"	"7"	96634860	96640351	1	"protein_coding"	31	19	4	41	23	13	29	9	39
"ENSG00000006432"	"MAP3K9"	"14"	71189243	71276251	-1	"protein_coding"	243	258	58	254	295	262	253	111	295
"ENSG00000006451"	"RALA"	"7"	39663082	39747723	1	"protein_coding"	805	752	93	858	1007	660	912	103	899
"ENSG00000006453"	"BAIAP2L1"	"7"	97920963	98030380	-1	"protein_coding"	607	608	134	656	695	568	584	131	734
"ENSG00000006459"	"KDM7A"	"7"	139784546	139876835	-1	"protein_coding"	652	706	104	720	733	619	810	149	816
"ENSG00000006468"	"ETV1"	"7"	13930853	14031050	-1	"protein_coding"	36	48	7	41	37	36	86	12	39
"ENSG00000006530"	"AGK"	"7"	141250989	141355044	1	"protein_coding"	655	632	152	625	760	601	660	215	694
"ENSG00000006534"	"ALDH3B1"	"11"	67776048	67796744	1	"protein_coding"	17	12	3	25	20	29	16	5	24
"ENSG00000006576"	"PHTF2"	"7"	77428122	77586818	1	"protein_coding"	409	407	43	479	490	367	423	74	513
"ENSG00000006607"	"FARP2"	"2"	242295658	242434256	1	"protein_coding"	372	316	73	386	451	353	272	121	460
"ENSG00000006611"	"USH1C"	"11"	17515442	17565963	-1	"protein_coding"	74	95	23	77	87	91	102	17	83
"ENSG00000006625"	"GGCT"	"7"	30536237	30591095	-1	"protein_coding"	555	476	76	608	719	536	516	92	666
"ENSG00000006634"	"DBF4"	"7"	87505531	87538856	1	"protein_coding"	499	724	44	697	1052	448	780	53	809
"ENSG00000006652"	"IFRD1"	"7"	112063023	112121072	1	"protein_coding"	574	629	159	636	667	559	636	200	760
"ENSG00000006695"	"COX10"	"17"	13972813	14111994	1	"protein_coding"	577	365	65	644	565	511	414	90	595
"ENSG00000006704"	"GTF2IRD1"	"7"	73868120	74016931	1	"protein_coding"	286	426	162	400	362	338	410	158	416
"ENSG00000006712"	"PAF1"	"19"	39876492	39881835	-1	"protein_coding"	1255	1090	293	1339	1416	1288	1167	239	1393
"ENSG00000006715"	"VPS41"	"7"	38762563	38971994	-1	"protein_coding"	436	462	115	478	482	419	455	122	499
"ENSG00000006740"	"ARHGAP44"	"17"	12692856	12894960	1	"protein_coding"	151	129	42	180	146	131	114	29	180
"ENSG00000006744"	"ELAC2"	"17"	12895708	12921504	-1	"protein_coding"	480	477	198	466	490	493	470	201	534
"ENSG00000006757"	"PNPLA4"	"X"	7866288	7895780	-1	"protein_coding"	191	192	142	208	193	207	173	101	245
"ENSG00000006831"	"ADIPOR2"	"12"	1797740	1897844	1	"protein_coding"	441	491	110	510	573	440	507	103	544
"ENSG00000006837"	"CDKL3"	"5"	133541305	133706738	-1	"protein_coding"	21	17	0	19	13	10	17	6	22
"ENSG00000007047"	"MARK4"	"19"	45582546	45808541	1	"protein_coding"	364	371	175	443	455	438	349	144	471
"ENSG00000007062"	"PROM1"	"4"	15964699	16086001	-1	"protein_coding"	14	12	1	7	8	8	13	20	14
"ENSG00000007080"	"CCDC124"	"19"	18043825	18054800	1	"protein_coding"	656	665	551	837	718	873	546	497	892
"ENSG00000007168"	"PAFAH1B1"	"17"	2496504	2588909	1	"protein_coding"	986	1110	191	1036	1256	964	1235	234	1241
"ENSG00000007171"	"NOS2"	"17"	26083792	26127525	-1	"protein_coding"	11	13	5	15	10	7	17	8	13
"ENSG00000007202"	"KIAA0100"	"17"	26941458	26972472	-1	"protein_coding"	750	715	357	802	804	769	658	406	829
"ENSG00000007237"	"GAS7"	"17"	9813926	10101868	-1	"protein_coding"	18	22	6	24	34	9	19	9	31
"ENSG00000007255"	"TRAPPC6A"	"19"	45666186	45681495	-1	"protein_coding"	25	42	27	35	30	33	24	20	23
"ENSG00000007264"	"MATK"	"19"	3777971	3802127	-1	"protein_coding"	80	45	50	82	65	101	69	48	102
"ENSG00000007314"	"SCN4A"	"17"	62015914	62050278	-1	"protein_coding"	11	19	7	11	6	12	11	6	10
"ENSG00000007341"	"ST7L"	"1"	113066140	113163447	-1	"protein_coding"	249	290	73	263	341	240	270	87	328
"ENSG00000007372"	"PAX6"	"11"	31806340	31839509	-1	"protein_coding"	763	673	96	877	1041	760	692	137	1022
"ENSG00000007376"	"RPUSD1"	"16"	834974	838397	-1	"protein_coding"	104	133	136	180	132	146	172	111	218
"ENSG00000007384"	"RHBDF1"	"16"	108058	126354	-1	"protein_coding"	101	153	105	126	150	145	147	91	158
"ENSG00000007392"	"LUC7L"	"16"	238968	279462	-1	"protein_coding"	831	721	288	836	802	784	740	238	885
"ENSG00000007402"	"CACNA2D2"	"3"	50400233	50541675	-1	"protein_coding"	39	46	34	62	48	53	48	15	48
"ENSG00000007516"	"BAIAP3"	"16"	1383602	1399439	1	"protein_coding"	25	25	32	38	34	48	33	48	44
"ENSG00000007520"	"TSR3"	"16"	1399241	1401912	-1	"protein_coding"	131	105	99	188	162	175	110	82	184
"ENSG00000007541"	"PIGQ"	"16"	616995	634136	1	"protein_coding"	74	146	137	126	121	122	142	116	166
"ENSG00000007545"	"CRAMP1L"	"16"	1662326	1727909	1	"protein_coding"	112	133	58	137	157	152	122	66	160
"ENSG00000007923"	"DNAJC11"	"1"	6694228	6761984	-1	"protein_coding"	377	372	130	359	330	345	347	106	421
"ENSG00000007968"	"E2F2"	"1"	23832922	23857712	-1	"protein_coding"	298	293	146	362	346	317	304	123	355
"ENSG00000008056"	"SYN1"	"X"	47431303	47479252	-1	"protein_coding"	20	31	9	28	36	30	41	21	34
"ENSG00000008086"	"CDKL5"	"X"	18443703	18671749	1	"protein_coding"	106	78	15	80	114	86	83	16	96
"ENSG00000008128"	"CDK11A"	"1"	1634169	1655766	-1	"protein_coding"	8	29	18	7	11	27	20	23	28
"ENSG00000008130"	"NADK"	"1"	1682671	1711896	-1	"protein_coding"	335	356	199	475	432	432	346	193	514
"ENSG00000008226"	"DLEC1"	"3"	38080696	38165516	1	"protein_coding"	31	24	26	32	16	28	19	26	58
"ENSG00000008256"	"CYTH3"	"7"	6201407	6312275	-1	"protein_coding"	284	285	83	279	299	292	220	108	344
"ENSG00000008277"	"ADAM22"	"7"	87563458	87832204	1	"protein_coding"	215	223	45	262	266	196	233	40	278
"ENSG00000008282"	"SYPL1"	"7"	105730949	105753022	-1	"protein_coding"	313	318	63	273	432	276	356	73	362
"ENSG00000008283"	"CYB561"	"17"	61509665	61523739	-1	"protein_coding"	43	67	14	68	45	52	62	25	55
"ENSG00000008294"	"SPAG9"	"17"	49039535	49198226	-1	"protein_coding"	820	948	175	882	831	771	1002	223	1071
"ENSG00000008300"	"CELSR3"	"3"	48673902	48700348	-1	"protein_coding"	555	472	481	604	457	638	501	494	572
"ENSG00000008311"	"AASS"	"7"	121715701	121784334	-1	"protein_coding"	214	214	46	163	201	175	225	68	196
"ENSG00000008324"	"SS18L2"	"3"	42623332	42636606	1	"protein_coding"	115	139	48	120	122	139	91	58	134
"ENSG00000008382"	"MPND"	"19"	4343524	4360083	1	"protein_coding"	48	52	49	65	58	72	42	43	50
"ENSG00000008394"	"MGST1"	"12"	16500076	16762193	1	"protein_coding"	217	163	24	177	157	169	171	35	244
"ENSG00000008405"	"CRY1"	"12"	107385142	107487607	-1	"protein_coding"	129	148	22	159	165	124	153	41	217
"ENSG00000008441"	"NFIX"	"19"	13106422	13209610	1	"protein_coding"	190	161	35	247	217	171	164	52	187
"ENSG00000008513"	"ST3GAL1"	"8"	134467091	134584183	-1	"protein_coding"	175	116	51	207	256	192	150	60	249
"ENSG00000008517"	"IL32"	"16"	3115298	3131908	1	"protein_coding"	102	165	52	126	110	95	152	34	94
"ENSG00000008710"	"PKD1"	"16"	2138711	2185899	-1	"protein_coding"	239	322	344	396	244	370	312	311	432
"ENSG00000008735"	"MAPK8IP2"	"22"	51039114	51052409	1	"protein_coding"	203	230	127	256	269	279	273	155	290
"ENSG00000008838"	"MED24"	"17"	38175350	38217468	-1	"protein_coding"	395	405	389	469	448	532	361	327	544
"ENSG00000008853"	"RHOBTB2"	"8"	22844930	22877712	1	"protein_coding"	117	128	36	153	117	164	126	46	156
"ENSG00000008869"	"HEATR5B"	"2"	37195526	37311485	-1	"protein_coding"	312	419	81	369	478	370	417	92	475
"ENSG00000008952"	"SEC62"	"3"	169684423	169716161	1	"protein_coding"	1427	1689	239	1707	1774	1121	1823	315	1803
"ENSG00000008988"	"RPS20"	"8"	56979854	56987069	-1	"protein_coding"	4017	2685	3452	3051	4966	4044	2302	2606	3245
"ENSG00000009307"	"CSDE1"	"1"	115259534	115301297	-1	"protein_coding"	5694	5302	599	6124	7374	5193	5516	762	6970
"ENSG00000009335"	"UBE3C"	"7"	156931607	157062066	1	"protein_coding"	1079	1203	325	1259	1206	1125	1253	325	1304
"ENSG00000009694"	"TENM1"	"X"	123509753	124097666	-1	"protein_coding"	97	38	43	100	72	93	31	51	120
"ENSG00000009709"	"PAX7"	"1"	18957500	19075360	1	"protein_coding"	24	16	15	20	31	23	20	9	21
"ENSG00000009724"	"MASP2"	"1"	11086580	11107290	-1	"protein_coding"	48	20	7	55	49	46	41	3	54
"ENSG00000009780"	"FAM76A"	"1"	28052490	28089633	1	"protein_coding"	485	382	77	455	463	450	441	97	464
"ENSG00000009790"	"TRAF3IP3"	"1"	209929377	209955668	1	"protein_coding"	47	40	12	48	29	41	56	7	51
"ENSG00000009830"	"POMT2"	"14"	77741299	77787227	-1	"protein_coding"	188	187	94	195	159	205	175	91	214
"ENSG00000009950"	"MLXIPL"	"7"	73007524	73038873	-1	"protein_coding"	206	189	105	209	148	168	208	87	209
"ENSG00000009954"	"BAZ1B"	"7"	72854728	72936608	-1	"protein_coding"	3108	3040	831	3243	2884	2875	3303	943	3244
"ENSG00000010072"	"SPRTN"	"1"	231472850	231490769	1	"protein_coding"	410	552	67	496	630	443	518	96	616
"ENSG00000010165"	"METTL13"	"1"	171750788	171783163	1	"protein_coding"	192	171	97	223	183	206	141	104	194
"ENSG00000010219"	"DYRK4"	"12"	4671370	4723325	1	"protein_coding"	231	202	88	225	289	274	186	70	299
"ENSG00000010244"	"ZNF207"	"17"	30677136	30708905	1	"protein_coding"	1332	1151	220	1416	1383	1202	1320	228	1549
"ENSG00000010256"	"UQCRC1"	"3"	48636435	48648409	-1	"protein_coding"	507	483	539	555	604	579	449	420	625
"ENSG00000010270"	"STARD3NL"	"7"	38217824	38270272	1	"protein_coding"	728	616	126	732	850	715	642	146	792
"ENSG00000010278"	"CD9"	"12"	6308881	6347425	1	"protein_coding"	143	127	32	96	153	115	164	34	143
"ENSG00000010282"	"HHATL"	"3"	42734155	42744319	-1	"protein_coding"	15	8	8	11	7	14	11	3	15
"ENSG00000010292"	"NCAPD2"	"12"	6602522	6641121	1	"protein_coding"	1272	1294	402	1383	1609	1408	1227	438	1610
"ENSG00000010295"	"IFFO1"	"12"	6647541	6665239	-1	"protein_coding"	153	184	120	169	213	180	207	122	213
"ENSG00000010310"	"GIPR"	"19"	46171502	46186982	1	"protein_coding"	17	12	10	12	10	13	15	3	10
"ENSG00000010318"	"PHF7"	"3"	52444673	52457657	1	"protein_coding"	96	64	29	90	77	116	88	39	140
"ENSG00000010319"	"SEMA3G"	"3"	52467069	52479101	-1	"protein_coding"	15	23	14	15	24	22	27	13	19
"ENSG00000010322"	"NISCH"	"3"	52489134	52527087	1	"protein_coding"	895	875	611	992	959	967	891	560	1132
"ENSG00000010361"	"FUZ"	"19"	50310126	50320633	-1	"protein_coding"	167	167	128	199	177	204	155	115	213
"ENSG00000010404"	"IDS"	"X"	148558521	148615470	-1	"protein_coding"	941	1023	146	1243	1240	915	1114	181	1284
"ENSG00000010539"	"ZNF200"	"16"	3272325	3286221	-1	"protein_coding"	179	264	37	213	282	193	262	42	218
"ENSG00000010626"	"LRRC23"	"12"	6982733	7023407	1	"protein_coding"	72	59	22	78	80	75	50	29	66
"ENSG00000010803"	"SCMH1"	"1"	41492872	41707826	-1	"protein_coding"	469	594	153	568	572	469	547	134	604
"ENSG00000011007"	"TCEB3"	"1"	24069645	24088549	1	"protein_coding"	1348	1102	187	1313	1680	1209	1200	193	1394
"ENSG00000011009"	"LYPLA2"	"1"	24117460	24122029	1	"protein_coding"	202	264	179	257	232	275	217	147	285
"ENSG00000011021"	"CLCN6"	"1"	11866207	11903201	1	"protein_coding"	147	202	85	213	245	184	196	93	233
"ENSG00000011028"	"MRC2"	"17"	60704762	60770958	1	"protein_coding"	47	66	71	57	58	80	62	57	67
"ENSG00000011105"	"TSPAN9"	"12"	3186521	3395730	1	"protein_coding"	61	67	32	68	60	72	69	44	84
"ENSG00000011114"	"BTBD7"	"14"	93703896	93799438	-1	"protein_coding"	495	482	91	596	653	478	497	99	601
"ENSG00000011132"	"APBA3"	"19"	3750817	3761697	-1	"protein_coding"	97	133	76	130	110	129	115	98	138
"ENSG00000011143"	"MKS1"	"17"	56282803	56296966	-1	"protein_coding"	134	137	85	147	169	194	141	98	191
"ENSG00000011198"	"ABHD5"	"3"	43731605	43775863	1	"protein_coding"	170	204	23	170	178	177	219	38	243
"ENSG00000011201"	"KAL1"	"X"	8496915	8700227	-1	"protein_coding"	10	7	1	14	19	7	9	7	11
"ENSG00000011243"	"AKAP8L"	"19"	15490859	15529952	-1	"protein_coding"	806	789	408	757	821	866	633	483	775
"ENSG00000011258"	"MBTD1"	"17"	49254786	49337524	-1	"protein_coding"	287	299	42	315	419	259	397	71	296
"ENSG00000011260"	"UTP18"	"17"	49337889	49375297	1	"protein_coding"	213	202	49	226	242	233	265	67	236
"ENSG00000011275"	"RNF216"	"7"	5659678	5821370	-1	"protein_coding"	592	600	201	722	600	627	639	201	695
"ENSG00000011295"	"TTC19"	"17"	15902694	15948329	1	"protein_coding"	494	504	63	531	591	540	506	100	615
"ENSG00000011304"	"PTBP1"	"19"	797075	812327	1	"protein_coding"	2046	2089	1102	2432	2810	2438	2076	1028	2793
"ENSG00000011332"	"DPF1"	"19"	38701646	38720354	-1	"protein_coding"	197	198	57	204	245	236	227	69	230
"ENSG00000011347"	"SYT7"	"11"	61282785	61348620	-1	"protein_coding"	53	48	12	68	53	48	31	28	49
"ENSG00000011376"	"LARS2"	"3"	45429998	45590913	1	"protein_coding"	398	425	173	465	453	488	413	187	555
"ENSG00000011405"	"PIK3C2A"	"11"	17099277	17229530	-1	"protein_coding"	757	933	60	909	1058	682	1036	85	1035
"ENSG00000011422"	"PLAUR"	"19"	44150247	44174699	-1	"protein_coding"	72	57	16	70	55	54	56	20	67
"ENSG00000011426"	"ANLN"	"7"	36429415	36493400	1	"protein_coding"	1267	1382	156	1466	1949	1112	1497	216	1603
"ENSG00000011451"	"WIZ"	"19"	15532319	15560762	-1	"protein_coding"	437	436	255	586	547	537	392	228	671
"ENSG00000011454"	"RABGAP1"	"9"	125703112	125867145	1	"protein_coding"	1064	1154	199	1162	1133	1095	1203	287	1193
"ENSG00000011478"	"QPCTL"	"19"	46195741	46207247	1	"protein_coding"	89	82	61	93	84	90	93	74	107
